Algorithm	Rank	Accuracy	Non-word Length	Corpus
Aspell with Jaro-Winkler	4	0.6917790113666402	10	Birbeck
Aspell with Jaro-Winkler	5	0.7232355273592387	10	Birbeck
Aspell with Jaro-Winkler	6	0.7420037007665874	10	Birbeck
Aspell with Jaro-Winkler	7	0.7525773195876289	10	Birbeck
Aspell with Jaro-Winkler	8	0.7549563838223632	10	Birbeck
Aspell with Jaro-Winkler	9	0.7565424266455194	10	Birbeck
Aspell with Jaro-Winkler	10	0.7568067671160454	10	Birbeck
Aspell with Jaro-Winkler	20	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	30	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	40	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	50	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	60	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	70	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	80	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	90	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	100	0.7575997885276236	10	Birbeck
Aspell with Jaro-Winkler	1	0.41178664677359195	11	Birbeck
Aspell with Jaro-Winkler	2	0.6251398731816487	11	Birbeck
Aspell with Jaro-Winkler	3	0.7191346512495338	11	Birbeck
Aspell with Jaro-Winkler	4	0.7571801566579635	11	Birbeck
Aspell with Jaro-Winkler	5	0.7788138754196196	11	Birbeck
Aspell with Jaro-Winkler	6	0.7911227154046997	11	Birbeck
Aspell with Jaro-Winkler	7	0.8008205893323387	11	Birbeck
Aspell with Jaro-Winkler	8	0.803804550540843	11	Birbeck
Aspell with Jaro-Winkler	9	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	10	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	20	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	30	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	40	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	50	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	60	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	70	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	80	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	90	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	100	0.804177545691906	11	Birbeck
Aspell with Jaro-Winkler	1	0.4441340782122905	12	Birbeck
Aspell with Jaro-Winkler	2	0.6871508379888268	12	Birbeck
Aspell with Jaro-Winkler	3	0.7688547486033519	12	Birbeck
Aspell with Jaro-Winkler	4	0.8135474860335196	12	Birbeck
Aspell with Jaro-Winkler	5	0.8289106145251397	12	Birbeck
Aspell with Jaro-Winkler	6	0.8421787709497207	12	Birbeck
Aspell with Jaro-Winkler	7	0.8477653631284916	12	Birbeck
Aspell with Jaro-Winkler	8	0.848463687150838	12	Birbeck
Aspell with Jaro-Winkler	9	0.848463687150838	12	Birbeck
Aspell with Jaro-Winkler	10	0.848463687150838	12	Birbeck
Aspell with Jaro-Winkler	20	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	30	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	40	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	50	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	60	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	70	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	80	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	90	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	100	0.8491620111731844	12	Birbeck
Aspell with Jaro-Winkler	1	0.45809248554913296	13	Birbeck
Aspell with Jaro-Winkler	2	0.6661849710982659	13	Birbeck
Aspell with Jaro-Winkler	3	0.7528901734104047	13	Birbeck
Aspell with Jaro-Winkler	4	0.7933526011560693	13	Birbeck
Aspell with Jaro-Winkler	5	0.8106936416184971	13	Birbeck
Aspell with Jaro-Winkler	6	0.815028901734104	13	Birbeck
Aspell with Jaro-Winkler	7	0.8251445086705202	13	Birbeck
Aspell with Jaro-Winkler	8	0.8251445086705202	13	Birbeck
Aspell with Jaro-Winkler	9	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	10	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	20	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	30	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	40	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	50	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	60	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	70	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	80	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	90	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	100	0.8265895953757225	13	Birbeck
Aspell with Jaro-Winkler	1	0.43197278911564624	14	Birbeck
Aspell with Jaro-Winkler	2	0.6972789115646258	14	Birbeck
Aspell with Jaro-Winkler	3	0.7585034013605442	14	Birbeck
Aspell with Jaro-Winkler	4	0.7653061224489796	14	Birbeck
Aspell with Jaro-Winkler	5	0.7653061224489796	14	Birbeck
Aspell with Jaro-Winkler	6	0.7789115646258503	14	Birbeck
Aspell with Jaro-Winkler	7	0.7891156462585034	14	Birbeck
Aspell with Jaro-Winkler	8	0.7891156462585034	14	Birbeck
Aspell with Jaro-Winkler	9	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	10	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	20	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	30	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	40	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	50	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	60	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	70	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	80	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	90	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	100	0.7959183673469388	14	Birbeck
Aspell with Jaro-Winkler	1	0.504950495049505	15	Birbeck
Aspell with Jaro-Winkler	2	0.7227722772277227	15	Birbeck
Aspell with Jaro-Winkler	3	0.7920792079207921	15	Birbeck
Aspell with Jaro-Winkler	4	0.8613861386138614	15	Birbeck
Aspell with Jaro-Winkler	5	0.8811881188118812	15	Birbeck
Aspell with Jaro-Winkler	6	0.8910891089108911	15	Birbeck
Aspell with Jaro-Winkler	7	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	8	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	9	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	10	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	20	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	30	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	40	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	50	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	60	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	70	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	80	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	90	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	100	0.900990099009901	15	Birbeck
Aspell with Jaro-Winkler	1	0.5172413793103449	16	Birbeck
Aspell with Jaro-Winkler	2	0.7241379310344828	16	Birbeck
Aspell with Jaro-Winkler	3	0.8275862068965517	16	Birbeck
Aspell with Jaro-Winkler	4	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	5	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	6	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	7	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	8	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	9	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	10	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	20	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	30	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	40	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	50	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	60	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	70	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	80	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	90	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	100	0.8620689655172413	16	Birbeck
Aspell with Jaro-Winkler	1	0.6	17	Birbeck
Aspell with Jaro-Winkler	2	0.8	17	Birbeck
Aspell with Jaro-Winkler	3	0.8	17	Birbeck
Aspell with Jaro-Winkler	4	0.8	17	Birbeck
Aspell with Jaro-Winkler	5	0.8	17	Birbeck
Aspell with Jaro-Winkler	6	0.8	17	Birbeck
Aspell with Jaro-Winkler	7	0.8	17	Birbeck
Aspell with Jaro-Winkler	8	0.8	17	Birbeck
Aspell with Jaro-Winkler	9	0.8	17	Birbeck
Aspell with Jaro-Winkler	10	0.8	17	Birbeck
Aspell with Jaro-Winkler	20	0.8	17	Birbeck
Aspell with Jaro-Winkler	30	0.8	17	Birbeck
Aspell with Jaro-Winkler	40	0.8	17	Birbeck
Aspell with Jaro-Winkler	50	0.8	17	Birbeck
Aspell with Jaro-Winkler	60	0.8	17	Birbeck
Aspell with Jaro-Winkler	70	0.8	17	Birbeck
Aspell with Jaro-Winkler	80	0.8	17	Birbeck
Aspell with Jaro-Winkler	90	0.8	17	Birbeck
Aspell with Jaro-Winkler	100	0.8	17	Birbeck
Aspell with Jaro-Winkler	1	0.0	18	Birbeck
Aspell with Jaro-Winkler	2	0.0	18	Birbeck
Aspell with Jaro-Winkler	3	0.0	18	Birbeck
Aspell with Jaro-Winkler	4	0.0	18	Birbeck
Aspell with Jaro-Winkler	5	0.0	18	Birbeck
Aspell with Jaro-Winkler	6	0.0	18	Birbeck
Aspell with Jaro-Winkler	7	0.0	18	Birbeck
Aspell with Jaro-Winkler	8	0.0	18	Birbeck
Aspell with Jaro-Winkler	9	0.0	18	Birbeck
Aspell with Jaro-Winkler	10	0.0	18	Birbeck
Aspell with Jaro-Winkler	20	0.0	18	Birbeck
Aspell with Jaro-Winkler	30	0.0	18	Birbeck
Aspell with Jaro-Winkler	40	0.0	18	Birbeck
Aspell with Jaro-Winkler	50	0.0	18	Birbeck
Aspell with Jaro-Winkler	60	0.0	18	Birbeck
Aspell with Jaro-Winkler	70	0.0	18	Birbeck
Aspell with Jaro-Winkler	80	0.0	18	Birbeck
Aspell with Jaro-Winkler	90	0.0	18	Birbeck
Aspell with Jaro-Winkler	100	0.0	18	Birbeck
Aspell with Jaro-Winkler	1	0.4349514563106796	-1	Aspell
Aspell with Jaro-Winkler	2	0.5825242718446602	-1	Aspell
Aspell with Jaro-Winkler	3	0.6990291262135923	-1	Aspell
Aspell with Jaro-Winkler	4	0.7728155339805826	-1	Aspell
Aspell with Jaro-Winkler	5	0.8058252427184466	-1	Aspell
Aspell with Jaro-Winkler	6	0.8349514563106796	-1	Aspell
Aspell with Jaro-Winkler	7	0.858252427184466	-1	Aspell
Aspell with Jaro-Winkler	8	0.8640776699029126	-1	Aspell
Aspell with Jaro-Winkler	9	0.8718446601941747	-1	Aspell
Aspell with Jaro-Winkler	10	0.8718446601941747	-1	Aspell
Aspell with Jaro-Winkler	20	0.887378640776699	-1	Aspell
Aspell with Jaro-Winkler	30	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	40	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	50	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	60	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	70	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	80	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	90	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	100	0.8893203883495145	-1	Aspell
Aspell with Jaro-Winkler	1	0.2727272727272727	3	Aspell
Aspell with Jaro-Winkler	2	0.2727272727272727	3	Aspell
Aspell with Jaro-Winkler	3	0.2727272727272727	3	Aspell
Aspell with Jaro-Winkler	4	0.45454545454545453	3	Aspell
Aspell with Jaro-Winkler	5	0.5454545454545454	3	Aspell
Aspell with Jaro-Winkler	6	0.6363636363636364	3	Aspell
Aspell with Jaro-Winkler	7	0.6363636363636364	3	Aspell
Aspell with Jaro-Winkler	8	0.6363636363636364	3	Aspell
Aspell with Jaro-Winkler	9	0.6363636363636364	3	Aspell
Aspell with Jaro-Winkler	10	0.6363636363636364	3	Aspell
Aspell with Jaro-Winkler	20	0.8181818181818182	3	Aspell
Aspell with Jaro-Winkler	30	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	40	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	50	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	60	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	70	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	80	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	90	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	100	0.9090909090909091	3	Aspell
Aspell with Jaro-Winkler	1	0.22727272727272727	4	Aspell
Aspell with Jaro-Winkler	2	0.4090909090909091	4	Aspell
Aspell with Jaro-Winkler	3	0.45454545454545453	4	Aspell
Aspell with Jaro-Winkler	4	0.5454545454545454	4	Aspell
Aspell with Jaro-Winkler	5	0.5454545454545454	4	Aspell
Aspell with Jaro-Winkler	6	0.6363636363636364	4	Aspell
Aspell with Jaro-Winkler	7	0.6818181818181818	4	Aspell
Aspell with Jaro-Winkler	8	0.6818181818181818	4	Aspell
Aspell with Jaro-Winkler	9	0.7727272727272727	4	Aspell
Aspell with Jaro-Winkler	10	0.7727272727272727	4	Aspell
Aspell with Jaro-Winkler	20	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	30	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	40	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	50	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	60	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	70	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	80	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	90	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	100	0.9090909090909091	4	Aspell
Aspell with Jaro-Winkler	1	0.3	5	Aspell
Aspell with Jaro-Winkler	2	0.45	5	Aspell
Aspell with Jaro-Winkler	3	0.5666666666666667	5	Aspell
Aspell with Jaro-Winkler	4	0.6833333333333333	5	Aspell
Aspell with Jaro-Winkler	5	0.7333333333333333	5	Aspell
Aspell with Jaro-Winkler	6	0.8	5	Aspell
Aspell with Jaro-Winkler	7	0.8333333333333334	5	Aspell
Aspell with Jaro-Winkler	8	0.8666666666666667	5	Aspell
Aspell with Jaro-Winkler	9	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	10	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	20	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	30	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	40	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	50	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	60	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	70	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	80	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	90	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	100	0.8833333333333333	5	Aspell
Aspell with Jaro-Winkler	1	0.3333333333333333	6	Aspell
Aspell with Jaro-Winkler	2	0.42105263157894735	6	Aspell
Aspell with Jaro-Winkler	3	0.543859649122807	6	Aspell
Aspell with Jaro-Winkler	4	0.6666666666666666	6	Aspell
Aspell with Jaro-Winkler	5	0.7192982456140351	6	Aspell
Aspell with Jaro-Winkler	6	0.7368421052631579	6	Aspell
Aspell with Jaro-Winkler	7	0.7543859649122807	6	Aspell
Aspell with Jaro-Winkler	8	0.7543859649122807	6	Aspell
Aspell with Jaro-Winkler	9	0.7719298245614035	6	Aspell
Aspell with Jaro-Winkler	10	0.7719298245614035	6	Aspell
Aspell with Jaro-Winkler	20	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	30	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	40	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	50	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	60	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	70	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	80	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	90	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	100	0.8070175438596491	6	Aspell
Aspell with Jaro-Winkler	1	0.3717948717948718	7	Aspell
Aspell with Jaro-Winkler	2	0.5256410256410257	7	Aspell
Aspell with Jaro-Winkler	3	0.6282051282051282	7	Aspell
Aspell with Jaro-Winkler	4	0.7051282051282052	7	Aspell
Aspell with Jaro-Winkler	5	0.7564102564102564	7	Aspell
Aspell with Jaro-Winkler	6	0.7948717948717948	7	Aspell
Aspell with Jaro-Winkler	7	0.8461538461538461	7	Aspell
Aspell with Jaro-Winkler	8	0.8589743589743589	7	Aspell
Aspell with Jaro-Winkler	9	0.8589743589743589	7	Aspell
Aspell with Jaro-Winkler	10	0.8589743589743589	7	Aspell
Aspell with Jaro-Winkler	20	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	30	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	40	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	50	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	60	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	70	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	80	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	90	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	100	0.8717948717948718	7	Aspell
Aspell with Jaro-Winkler	1	0.5	8	Aspell
Aspell with Jaro-Winkler	2	0.6388888888888888	8	Aspell
Aspell with Jaro-Winkler	3	0.7361111111111112	8	Aspell
Aspell with Jaro-Winkler	4	0.8055555555555556	8	Aspell
Aspell with Jaro-Winkler	5	0.8194444444444444	8	Aspell
Aspell with Jaro-Winkler	6	0.8472222222222222	8	Aspell
Aspell with Jaro-Winkler	7	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	8	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	9	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	10	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	20	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	30	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	40	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	50	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	60	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	70	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	80	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	90	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	100	0.8611111111111112	8	Aspell
Aspell with Jaro-Winkler	1	0.4838709677419355	9	Aspell
Aspell with Jaro-Winkler	2	0.6129032258064516	9	Aspell
Aspell with Jaro-Winkler	3	0.7419354838709677	9	Aspell
Aspell with Jaro-Winkler	4	0.8387096774193549	9	Aspell
Aspell with Jaro-Winkler	5	0.8870967741935484	9	Aspell
Aspell with Jaro-Winkler	6	0.9032258064516129	9	Aspell
Aspell with Jaro-Winkler	7	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	8	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	9	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	10	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	20	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	30	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	40	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	50	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	60	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	70	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	80	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	90	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	100	0.9354838709677419	9	Aspell
Aspell with Jaro-Winkler	1	0.6615384615384615	10	Aspell
Aspell with Jaro-Winkler	2	0.7538461538461538	10	Aspell
Aspell with Jaro-Winkler	3	0.9230769230769231	10	Aspell
Aspell with Jaro-Winkler	4	0.9230769230769231	10	Aspell
Aspell with Jaro-Winkler	5	0.9230769230769231	10	Aspell
Aspell with Jaro-Winkler	6	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	7	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	8	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	9	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	10	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	20	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	30	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	40	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	50	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	60	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	70	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	80	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	90	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	100	0.9384615384615385	10	Aspell
Aspell with Jaro-Winkler	1	0.4	11	Aspell
Aspell with Jaro-Winkler	2	0.6666666666666666	11	Aspell
Aspell with Jaro-Winkler	3	0.8222222222222222	11	Aspell
Aspell with Jaro-Winkler	4	0.8444444444444444	11	Aspell
Aspell with Jaro-Winkler	5	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	6	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	7	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	8	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	9	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	10	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	20	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	30	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	40	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	50	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	60	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	70	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	80	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	90	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	100	0.8666666666666667	11	Aspell
Aspell with Jaro-Winkler	1	0.5185185185185185	12	Aspell
Aspell with Jaro-Winkler	2	0.7777777777777778	12	Aspell
Aspell with Jaro-Winkler	3	0.8518518518518519	12	Aspell
Aspell with Jaro-Winkler	4	0.8888888888888888	12	Aspell
Aspell with Jaro-Winkler	5	0.9259259259259259	12	Aspell
Aspell with Jaro-Winkler	6	0.9259259259259259	12	Aspell
Aspell with Jaro-Winkler	7	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	8	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	9	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	10	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	20	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	30	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	40	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	50	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	60	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	70	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	80	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	90	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	100	0.9629629629629629	12	Aspell
Aspell with Jaro-Winkler	1	0.5833333333333334	13	Aspell
Aspell with Jaro-Winkler	2	0.75	13	Aspell
Aspell with Jaro-Winkler	3	0.8333333333333334	13	Aspell
Aspell with Jaro-Winkler	4	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	5	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	6	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	7	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	8	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	9	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	10	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	20	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	30	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	40	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	50	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	60	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	70	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	80	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	90	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	100	0.9166666666666666	13	Aspell
Aspell with Jaro-Winkler	1	0.3333333333333333	14	Aspell
Aspell with Jaro-Winkler	2	0.6666666666666666	14	Aspell
Aspell with Jaro-Winkler	3	1.0	14	Aspell
Aspell with Jaro-Winkler	4	1.0	14	Aspell
Aspell with Jaro-Winkler	5	1.0	14	Aspell
Aspell with Jaro-Winkler	6	1.0	14	Aspell
Aspell with Jaro-Winkler	7	1.0	14	Aspell
Aspell with Jaro-Winkler	8	1.0	14	Aspell
Aspell with Jaro-Winkler	9	1.0	14	Aspell
Aspell with Jaro-Winkler	10	1.0	14	Aspell
Aspell with Jaro-Winkler	20	1.0	14	Aspell
Aspell with Jaro-Winkler	30	1.0	14	Aspell
Aspell with Jaro-Winkler	40	1.0	14	Aspell
Aspell with Jaro-Winkler	50	1.0	14	Aspell
Aspell with Jaro-Winkler	60	1.0	14	Aspell
Aspell with Jaro-Winkler	70	1.0	14	Aspell
Aspell with Jaro-Winkler	80	1.0	14	Aspell
Aspell with Jaro-Winkler	90	1.0	14	Aspell
Aspell with Jaro-Winkler	100	1.0	14	Aspell
Aspell with Jaro-Winkler	1	1.0	15	Aspell
Aspell with Jaro-Winkler	2	1.0	15	Aspell
Aspell with Jaro-Winkler	3	1.0	15	Aspell
Aspell with Jaro-Winkler	4	1.0	15	Aspell
Aspell with Jaro-Winkler	5	1.0	15	Aspell
Aspell with Jaro-Winkler	6	1.0	15	Aspell
Aspell with Jaro-Winkler	7	1.0	15	Aspell
Aspell with Jaro-Winkler	8	1.0	15	Aspell
Aspell with Jaro-Winkler	9	1.0	15	Aspell
Aspell with Jaro-Winkler	10	1.0	15	Aspell
Aspell with Jaro-Winkler	20	1.0	15	Aspell
Aspell with Jaro-Winkler	30	1.0	15	Aspell
Aspell with Jaro-Winkler	40	1.0	15	Aspell
Aspell with Jaro-Winkler	50	1.0	15	Aspell
Aspell with Jaro-Winkler	60	1.0	15	Aspell
