Algorithm	Rank	Accuracy	Non-word Length	Corpus
Aspell with Jaro-Winkler	9	0.9197860962566845	5	Wikipedia
Aspell with Jaro-Winkler	10	0.93048128342246	5	Wikipedia
Aspell with Jaro-Winkler	20	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	30	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	40	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	50	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	60	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	70	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	80	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	90	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	100	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	1	0.5360824742268041	6	Wikipedia
Aspell with Jaro-Winkler	2	0.6649484536082474	6	Wikipedia
Aspell with Jaro-Winkler	3	0.7577319587628866	6	Wikipedia
Aspell with Jaro-Winkler	4	0.8505154639175257	6	Wikipedia
Aspell with Jaro-Winkler	5	0.8505154639175257	6	Wikipedia
Aspell with Jaro-Winkler	6	0.8917525773195877	6	Wikipedia
Aspell with Jaro-Winkler	7	0.9072164948453608	6	Wikipedia
Aspell with Jaro-Winkler	8	0.9123711340206185	6	Wikipedia
Aspell with Jaro-Winkler	9	0.9226804123711341	6	Wikipedia
Aspell with Jaro-Winkler	10	0.9278350515463918	6	Wikipedia
Aspell with Jaro-Winkler	20	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	30	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	40	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	50	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	60	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	70	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	80	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	90	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	100	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	1	0.5909090909090909	7	Wikipedia
Aspell with Jaro-Winkler	2	0.7027972027972028	7	Wikipedia
Aspell with Jaro-Winkler	3	0.8251748251748252	7	Wikipedia
Aspell with Jaro-Winkler	4	0.8881118881118881	7	Wikipedia
Aspell with Jaro-Winkler	5	0.9090909090909091	7	Wikipedia
Aspell with Jaro-Winkler	6	0.9405594405594405	7	Wikipedia
Aspell with Jaro-Winkler	7	0.951048951048951	7	Wikipedia
Aspell with Jaro-Winkler	8	0.9615384615384616	7	Wikipedia
Aspell with Jaro-Winkler	9	0.9615384615384616	7	Wikipedia
Aspell with Jaro-Winkler	10	0.9615384615384616	7	Wikipedia
Aspell with Jaro-Winkler	20	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	30	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	40	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	50	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	60	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	70	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	80	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	90	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	100	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	1	0.6988950276243094	8	Wikipedia
Aspell with Jaro-Winkler	2	0.7845303867403315	8	Wikipedia
Aspell with Jaro-Winkler	3	0.8812154696132597	8	Wikipedia
Aspell with Jaro-Winkler	4	0.9281767955801105	8	Wikipedia
Aspell with Jaro-Winkler	5	0.9502762430939227	8	Wikipedia
Aspell with Jaro-Winkler	6	0.9613259668508287	8	Wikipedia
Aspell with Jaro-Winkler	7	0.9640883977900553	8	Wikipedia
Aspell with Jaro-Winkler	8	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	9	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	10	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	20	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	30	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	40	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	50	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	60	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	70	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	80	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	90	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	100	0.9696132596685083	8	Wikipedia
Aspell with Jaro-Winkler	1	0.7193877551020408	9	Wikipedia
Aspell with Jaro-Winkler	2	0.798469387755102	9	Wikipedia
Aspell with Jaro-Winkler	3	0.8928571428571429	9	Wikipedia
Aspell with Jaro-Winkler	4	0.9438775510204082	9	Wikipedia
Aspell with Jaro-Winkler	5	0.9770408163265306	9	Wikipedia
Aspell with Jaro-Winkler	6	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	7	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	8	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	9	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	10	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	20	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	30	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	40	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	50	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	60	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	70	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	80	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	90	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	100	0.9897959183673469	9	Wikipedia
Aspell with Jaro-Winkler	1	0.7299703264094956	10	Wikipedia
Aspell with Jaro-Winkler	2	0.8100890207715133	10	Wikipedia
Aspell with Jaro-Winkler	3	0.9169139465875371	10	Wikipedia
Aspell with Jaro-Winkler	4	0.9525222551928784	10	Wikipedia
Aspell with Jaro-Winkler	5	0.9703264094955489	10	Wikipedia
Aspell with Jaro-Winkler	6	0.973293768545994	10	Wikipedia
Aspell with Jaro-Winkler	7	0.9762611275964391	10	Wikipedia
Aspell with Jaro-Winkler	8	0.9792284866468842	10	Wikipedia
Aspell with Jaro-Winkler	9	0.9792284866468842	10	Wikipedia
Aspell with Jaro-Winkler	10	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	20	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	30	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	40	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	50	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	60	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	70	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	80	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	90	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	100	0.9821958456973294	10	Wikipedia
Aspell with Jaro-Winkler	1	0.8127659574468085	11	Wikipedia
Aspell with Jaro-Winkler	2	0.8978723404255319	11	Wikipedia
Aspell with Jaro-Winkler	3	0.948936170212766	11	Wikipedia
Aspell with Jaro-Winkler	4	0.9659574468085106	11	Wikipedia
Aspell with Jaro-Winkler	5	0.9744680851063829	11	Wikipedia
Aspell with Jaro-Winkler	6	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	7	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	8	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	9	0.9787234042553191	11	Wikipedia
